initial_speed,initial_angle,max_range,max_height
10,1,0.356117313,0.001554013
10,3,1.066616972,0.013974757
10,5,1.77192018,0.038755732
10,7,2.468590771,0.075776208
10,9,3.153234636,0.124855826
10,11,3.822516259,0.185755473
10,13,4.473174967,0.258178453
10,15,5.102040816,0.341771929
10,17,5.706050035,0.436128641
10,19,6.282259952,0.540788894
10,21,6.82786333,0.655242792
10,23,7.340202044,0.778932728
10,25,7.816780032,0.911256098
10,27,8.255275453,1.051568234
10,29,8.653552002,1.19918555
10,31,9.009669315,1.35338887
10,33,9.321892425,1.513426931
10,35,9.588700212,1.678520043
10,37,9.808792816,1.847863888
10,39,9.981097967,2.020633442
10,41,10.10477621,2.195986987
10,43,10.179225,2.37307022
10,45,10.20408163,2.551020408
10,47,10.179225,2.728970596
10,49,10.10477621,2.906053829
10,51,9.981097967,3.081407375
10,53,9.808792816,3.254176928
10,55,9.588700212,3.423520774
10,57,9.321892425,3.588613885
10,59,9.009669315,3.748651946
10,61,8.653552002,3.902855266
10,63,8.255275453,4.050472582
10,65,7.816780032,4.190784719
10,67,7.340202044,4.323108088
10,69,6.82786333,4.446798024
10,71,6.282259952,4.561251922
10,73,5.706050035,4.665912175
10,75,5.102040816,4.760268887
10,77,4.473174967,4.843862363
10,79,3.822516259,4.916285343
10,81,3.153234636,4.977184991
10,83,2.468590771,5.026264608
10,85,1.77192018,5.063285084
10,87,1.066616972,5.08806606
10,89,0.356117313,5.100486804
20,1,1.424469253,0.006216051
20,3,4.266467888,0.055899027
20,5,7.087680721,0.155022928
20,7,9.874363086,0.303104834
20,9,12.61293855,0.499423303
20,11,15.29006504,0.743021892
20,13,17.89269987,1.032713813
20,15,20.40816327,1.367087716
20,17,22.82420014,1.744514566
20,19,25.12903981,2.163155575
20,21,27.31145332,2.620971169
20,23,29.36080818,3.115730914
20,25,31.26712013,3.645024391
20,27,33.02110181,4.206272936
20,29,34.61420801,4.796742202
20,31,36.03867726,5.413555482
20,33,37.2875697,6.053707724
20,35,38.35480085,6.71408017
20,37,39.23517126,7.391455553
20,39,39.92439187,8.082533767
20,41,40.41910485,8.783947949
20,43,40.71690001,9.49228088
20,45,40.81632653,10.20408163
20,47,40.71690001,10.91588239
20,49,40.41910485,11.62421532
20,51,39.92439187,12.3256295
20,53,39.23517126,13.01670771
20,55,38.35480085,13.6940831
20,57,37.2875697,14.35445554
20,59,36.03867726,14.99460778
20,61,34.61420801,15.61142106
20,63,33.02110181,16.20189033
20,65,31.26712013,16.76313887
20,67,29.36080818,17.29243235
20,69,27.31145332,17.7871921
20,71,25.12903981,18.24500769
20,73,22.82420014,18.6636487
20,75,20.40816327,19.04107555
20,77,17.89269987,19.37544945
20,79,15.29006504,19.66514137
20,81,12.61293855,19.90873996
20,83,9.874363086,20.10505843
20,85,7.087680721,20.25314034
20,87,4.266467888,20.35226424
20,89,1.424469253,20.40194721
30,1,3.20505582,0.013986114
30,3,9.599552749,0.12577281
30,5,15.94728162,0.348801589
30,7,22.21731694,0.681985876
30,9,28.37911173,1.123702432
30,11,34.40264633,1.671799257
30,13,40.25857471,2.32360608
30,15,45.91836735,3.075947362
30,17,51.35445032,3.925157773
30,19,56.54033957,4.867100045
30,21,61.45076997,5.897185129
30,23,66.0618184,7.010394556
30,25,70.35102029,8.20130488
30,27,74.29747908,9.464114106
30,29,77.88196801,10.79266995
30,31,81.08702383,12.18049983
30,33,83.89703182,13.62084238
30,35,86.29830191,15.10668038
30,37,88.27913534,16.63077499
30,39,89.8298817,18.18570098
30,41,90.9429859,19.76388289
30,43,91.61302502,21.35763198
30,45,91.83673469,22.95918367
30,47,91.61302502,24.56073537
30,49,90.9429859,26.15448446
30,51,89.8298817,27.73266637
30,53,88.27913534,29.28759235
30,55,86.29830191,30.81168696
30,57,83.89703182,32.29752497
30,59,81.08702383,33.73786751
30,61,77.88196801,35.12569739
30,63,74.29747908,36.45425324
30,65,70.35102029,37.71706247
30,67,66.0618184,38.90797279
30,69,61.45076997,40.02118222
30,71,56.54033957,41.0512673
30,73,51.35445032,41.99320957
30,75,45.91836735,42.84241998
30,77,40.25857471,43.59476127
30,79,34.40264633,44.24656809
30,81,28.37911173,44.79466491
30,83,22.21731694,45.23638147
30,85,15.94728162,45.56956576
30,87,9.599552749,45.79259454
30,89,3.20505582,45.90438123
40,1,5.697877013,0.024864203
40,3,17.06587155,0.223596107
40,5,28.35072288,0.620091714
40,7,39.49745234,1.212419336
40,9,50.45175418,1.997693212
40,11,61.16026015,2.972087569
40,13,71.57079948,4.130855253
40,15,81.63265306,5.468350866
40,17,91.29680057,6.978058263
40,19,100.5161592,8.652622302
40,21,109.2458133,10.48388467
40,23,117.4432327,12.46292365
40,25,125.0684805,14.58009756
40,27,132.0844072,16.82509174
40,29,138.456832,19.18696881
40,31,144.154709,21.65422193
40,33,149.1502788,24.21483089
40,35,153.4192034,26.85632068
40,37,156.9406851,29.56582221
40,39,159.6975675,32.33013507
40,41,161.6764194,35.1357918
40,43,162.8676,37.96912352
40,45,163.2653061,40.81632653
40,47,162.8676,43.66352954
40,49,161.6764194,46.49686126
40,51,159.6975675,49.30251799
40,53,156.9406851,52.06683085
40,55,153.4192034,54.77633238
40,57,149.1502788,57.41782217
40,59,144.154709,59.97843113
40,61,138.456832,62.44568425
40,63,132.0844072,64.80756132
40,65,125.0684805,67.0525555
40,67,117.4432327,69.16972941
40,69,109.2458133,71.14876839
40,71,100.5161592,72.98003076
40,73,91.29680057,74.6545948
40,75,81.63265306,76.1643022
40,77,71.57079948,77.50179781
40,79,61.16026015,78.66056549
40,81,50.45175418,79.63495985
40,83,39.49745234,80.42023373
40,85,28.35072288,81.01256135
40,87,17.06587155,81.40905695
40,89,5.697877013,81.60778886
50,1,8.902932832,0.038850318
50,3,26.6654243,0.349368918
50,5,44.29800451,0.968893303
50,7,61.71476929,1.894405212
50,9,78.83086591,3.121395644
50,11,95.56290648,4.643886826
50,13,111.8293742,6.454461333
50,15,127.5510204,8.544298228
50,17,142.6512509,10.90321604
50,19,157.0564988,13.51972235
50,21,170.6965833,16.3810698
50,23,183.5050511,19.47331821
50,25,195.4195008,22.78140244
50,27,206.3818863,26.28920585
50,29,216.3388,29.97963876
50,31,225.2417329,33.83472176
50,33,233.0473106,37.83567327
50,35,239.7175053,41.96300106
50,37,245.2198204,46.19659721
50,39,249.5274492,50.51583604
50,41,252.6194053,54.89967468
50,43,254.4806251,59.3267555
50,45,255.1020408,63.7755102
50,47,254.4806251,68.22426491
50,49,252.6194053,72.65134572
50,51,249.5274492,77.03518436
50,53,245.2198204,81.3544232
50,55,239.7175053,85.58801934
50,57,233.0473106,89.71534713
50,59,225.2417329,93.71629865
50,61,216.3388,97.57138165
50,63,206.3818863,101.2618146
50,65,195.4195008,104.769618
50,67,183.5050511,108.0777022
50,69,170.6965833,111.1699506
50,71,157.0564988,114.0312981
50,73,142.6512509,116.6478044
50,75,127.5510204,119.0067222
50,77,111.8293742,121.0965591
50,79,95.56290648,122.9071336
50,81,78.83086591,124.4296248
50,83,61.71476929,125.6566152
50,85,44.29800451,126.5821271
50,87,26.6654243,127.2016515
50,89,8.902932832,127.5121701
60,1,12.82022328,0.055944457
60,3,38.398211,0.503091242
60,5,63.78912649,1.395206356
60,7,88.86926777,2.727943505
60,9,113.5164469,4.494809728
